id,stars,comment,create_at,user_id
3,5,Service impeccable rien à redire,2026-03-16 11:48:19.892241+00,785
4,4,"Cliente fidèle depuis l'année passée 🫠, rien à redire ils sont très pro dans leur domaine. ",2026-03-17 04:24:48.825054+00,143
6,4,Merci beaucoup pour votre service ,2026-03-28 22:40:28.518193+00,566
9,5,Toujours excellent ✨ et la configuration est juste parfaite ✨,2026-04-03 07:43:27.527872+00,651
66,3,Waouh professionnel ,2026-06-16 19:11:52.787322+00,1081
62,5,Le service est impeccable 👌🏾,2026-06-16 15:50:16.142685+00,827
67,5,Good,2026-06-17 11:49:19.394066+00,19
68,5,Service de qualité ,2026-06-17 14:06:11.469651+00,833
69,5,ras,2026-06-17 17:01:17.923028+00,1087
71,4,Satisfait ,2026-06-18 00:18:05.745299+00,255
13,4,Service impeccable. ,2026-05-31 12:04:40.208678+00,1034
21,4,Bien ,2026-06-01 15:02:22.497015+00,875
23,5,Bien,2026-06-01 21:31:49.686658+00,703
24,5,Très bonne communication ,2026-06-02 06:19:41.520393+00,990
25,5,Je n’arrive pas à me connecter envoyer moi un autre lien,2026-06-02 09:13:37.979587+00,469
26,5,Abonnement super sans interruption ,2026-06-02 09:37:31.269175+00,987
27,5,J’aime bien le professionnalisme et le fait de rappeler au client la date d’expiration ,2026-06-02 16:37:40.996804+00,741
22,4,J’aime bien ,2026-06-01 20:16:30.082365+00,36
28,5,RAS,2026-06-03 06:36:06.609337+00,989
29,1,Bien ,2026-06-03 12:59:05.375658+00,790
30,2,Ok,2026-06-03 18:51:25.180846+00,584
31,5,"Très très cool 
Service impeccable ",2026-06-04 08:13:44.599067+00,327
32,4,Tbn,2026-06-04 13:09:41.104301+00,999
33,4,Pas mal ,2026-06-04 18:51:36.656332+00,618
34,4,Bien ,2026-06-05 04:13:00.208243+00,153
35,5,Je dirais de très bonne qualité le service et surtout disponible 24 sur 24 bravo,2026-06-05 15:48:25.954036+00,966
36,5,Tres bonne site,2026-06-05 20:44:58.014429+00,896
37,3,Not bed,2026-06-06 00:04:17.451974+00,77
38,4,très cool,2026-06-06 19:44:55.272028+00,615
39,4,"Service de qualité, promoteur à l'écoute des soucis des clients et se rend disponible pour les résoudre.",2026-06-07 07:50:44.174317+00,427
10,5,Très cool,2026-05-05 00:56:54.152921+00,945
40,5,Satisfait du service ,2026-06-07 22:18:53.10058+00,982
41,5,Très rapide ,2026-06-07 22:25:27.637251+00,1045
42,3,Très bon ,2026-06-08 12:28:32.962804+00,34
43,5,Super,2026-06-09 08:27:11.723036+00,478
44,4,J'aile,2026-06-09 08:57:22.573781+00,1048
45,5,J'aime ,2026-06-09 09:08:33.063009+00,1051
46,5,Super,2026-06-10 11:27:33.776281+00,842
47,5,Ce vrai les meilleurs et il guide bien et facilement leur client ,2026-06-10 16:22:55.300318+00,1031
48,3,Site et service ok mais les modifications ne sont pas systématiquement mises à jour et notifiez au client,2026-06-11 04:23:36.915705+00,89
49,4,Bien ,2026-06-11 08:09:11.996485+00,457
50,4,Super intéressant ,2026-06-11 18:59:55.181988+00,925
51,5,Top,2026-06-12 11:58:32.239304+00,176
52,3,Réduire au max les interruptions de connexion au compte. Améliorez votre assistante au client quand vous êtes sollicité par ce dernier pour réactiver sa TV lorsque NETFLIX demande de confirmer le compte. C'est très gênant !  A part ça le service est bon. Bien vouloir souvent accorder des bonus aux clients réguliers. ,2026-06-12 20:00:04.787601+00,489
53,5,Cool,2026-06-12 20:37:01.060067+00,1068
54,5,Très bon site de streaming ,2026-06-12 23:08:24.806727+00,928
55,3,Bien ,2026-06-13 07:15:28.815752+00,1069
56,4,Assez-bien,2026-06-13 12:58:26.082054+00,907
57,4,J’aime ,2026-06-13 13:42:20.019854+00,915
58,5,Très bien ,2026-06-13 15:01:58.87637+00,33
59,5,"Personnellement, l’expérience avec Stream Partner a toujours été très professionnelle, rien à redire. Je suis quelqu’un avec une personnalité assez, évasive plusieurs fois, j’ai essayé de digresser et tout mais la conversation est toujours restée professionnelle, centrée sur le sujet. Il a toujours tout fait pour nous aider en cas de problème. Le service client est très réactif j’apprécie. Ce serait carrément une plate-forme que je pourrais recommander à mes proches.",2026-06-16 10:39:14.126132+00,10
61,5,Super ,2026-06-16 15:47:52.051222+00,904
63,5,Je suis satisfais de votre travail continuez ainsi ,2026-06-16 17:07:52.34849+00,53
64,3,Je trouve que c'est déjà un peu difficile abonnement et réabonnement et aussi de petits soucis de temps en temps sur l'application Netflix mais côté disponibilité et écoute vous gérez bien 👍,2026-06-16 18:25:16.365097+00,501
84,5,"Service magnifique 
Disponibilité 
Fiabilité ",2026-06-20 09:48:22.214856+00,967
85,5,"Qualité de service très appréciable..
Je vous le recommande vivement.",2026-06-20 17:33:36.584858+00,475
75,5,C’est cool,2026-06-18 17:50:20.248721+00,1098
76,5,Je suis très satisfaite de la réactivité du sav ,2026-06-18 18:23:05.820753+00,964
77,1,Vous êtes fiables et c'est le plus important.,2026-06-19 04:04:43.53795+00,830
78,5,C’est cool,2026-06-19 04:59:28.698954+00,1091
79,5,cool,2026-06-19 12:58:08.131254+00,849
80,5,C’est magnifique ,2026-06-19 20:01:10.27753+00,771
81,1,Fiable et efficace ,2026-06-19 20:29:48.329437+00,838
82,5,Bien ,2026-06-20 01:57:31.856626+00,1086
83,5,Très fiable et fluide ,2026-06-20 09:06:35.190648+00,691
87,5,Très professionnel et très fiable et très sécurisé…je suis satisfait de mon abonnement !! Vraiment merci !!,2026-06-21 12:04:27.070897+00,1120
88,3,Merci ,2026-06-21 20:46:16.628282+00,1123
89,5,Bien ,2026-06-21 21:11:34.104176+00,1127
90,5,Réactif et precis,2026-06-22 11:43:06.600339+00,635
91,5,J’aime bien ,2026-06-22 12:48:40.886021+00,300
92,1,Bien ,2026-06-22 13:44:38.730483+00,1130
93,1,"Super 
Et bien plus qu'au delà de mes attentes ",2026-06-22 18:34:52.956025+00,1107
94,5,Super,2026-06-22 19:21:28.198931+00,1136
95,5,J’aime bien c’est pratique ,2026-06-22 23:47:50.830965+00,1131
96,5,Excellent 👌🏾,2026-06-23 13:26:30.530061+00,1141
97,1,Je suis vraiment ravie ,2026-06-23 15:32:56.106335+00,1150
98,5,Satisfaite à 100 %,2026-06-23 16:11:24.60908+00,1151
60,3,Ouais je kiffe grave 👍🏻,2026-06-16 13:46:46.154041+00,1063
65,5,"Vous êtes les meilleurs 
Très bon service
Toujours disponible ",2026-06-16 18:41:40.984383+00,188
99,5,Bien,2026-06-23 19:51:25.473922+00,1145
100,5,Super ,2026-06-23 20:49:26.276281+00,1152
101,5,Très efficace mais  la procédure est longue ,2026-06-23 22:38:58.610354+00,1154
102,1,Intéressant et professionnel ,2026-06-23 22:40:37.624205+00,1155
103,5,Très satisfait ,2026-06-24 08:51:33.569707+00,1148
105,4,Très bien,2026-06-25 14:35:00.613826+00,1023
106,5,Merci ,2026-06-25 17:03:50.449812+00,601
107,5,J'adore et je conseille à tous ,2026-06-25 18:55:13.849711+00,1050
108,4,Je suis très satisfait. J'arrive à me distraire. Merci ,2026-06-25 20:58:11.695056+00,670
109,3,"Je découvre encore donc je ne puis me prononcer 
",2026-06-26 05:32:29.821405+00,1166
110,2,Interressant ,2026-06-26 06:14:40.319299+00,221
111,5,Bon service,2026-06-26 13:07:49.619509+00,1168
112,3,M,2026-06-26 18:06:40.655641+00,1169
113,4,Très intéressant mais il faut simplifier le procès ,2026-06-26 20:51:28.480834+00,1171
114,5,Le travail est bon. Je ne regrette pas mon abonnement car je suis satisfait à 100% et surtout le service client qui agit à la seconde.,2026-06-26 22:42:49.824382+00,1037
115,3,C'est cool,2026-06-27 07:18:37.022464+00,979
116,3,Pas mal ,2026-06-28 12:10:27.389931+00,1175
118,4,Très pratique ,2026-06-28 16:49:32.543406+00,816
119,5,Aaa,2026-06-28 23:30:14.679318+00,1052
120,5,Excellent ,2026-06-30 05:12:33.793545+00,1170
121,5,Satisfait ,2026-06-30 09:02:01.860054+00,737
122,3,Pragmatique,2026-06-30 09:24:21.017862+00,1185
123,5,"Le service est sure et bon , ils sont entièrement disponible en cas de soucis, n’importe quel jour, voilà ce qui me plaît.",2026-06-30 10:35:53.094583+00,837
