id,code,days,start_date,end_date,status,platform_id,usage_limit,used_count
6,SP5633,7,2026-04-03 08:16:00+00,2027-04-03 08:16:00+00,t,,1,0
7,SP5014,7,2026-04-06 13:01:00+00,2027-04-06 13:01:00+00,t,,1,0
9,SP4570,7,2026-05-26 22:58:00+00,2027-05-26 22:58:00+00,t,,1,0
10,SP3608,10,2026-06-03 21:28:00+00,2027-06-03 21:28:00+00,t,,1,0
12,SP8749,7,2026-06-18 21:21:00+00,2027-06-18 21:21:00+00,t,,1,0
14,SP6121,10,2026-06-26 13:09:00+00,2027-07-22 13:10:00+00,t,,1,0
13,SP7491,7,2026-06-19 18:21:00+00,2027-06-19 18:21:00+00,t,,1,1
15,GP26,7,2026-07-02 13:16:00+00,2026-07-18 13:16:00+00,t,,0,1
16,SP8387,7,2026-07-09 09:44:00+00,2027-09-09 09:44:00+00,t,,1,0
18,SP5427,7,2026-07-16 00:34:00+00,2027-07-16 17:35:00+00,t,,1,0
19,SP2601,7,2026-07-19 08:10:00+00,2027-06-19 12:10:00+00,t,,1,0
17,SP5445,7,2026-07-12 10:14:00+00,2027-07-12 10:14:00+00,t,,1,1
