id,order_id,platform,price,duration,purchase_date,status,type,user_id,renewal_from_id,gift_code_id,subscription_id,motif
1376,473f2a32-2cd5-4b50-8a3b-f9f660766407,Netflix,2000,1 mois,2026-06-08 15:28:31.876394+00,completed,mutual,540,,,,subscription
1101,b8535344-fb0a-4ef2-a332-f42b2edd6b48,Netflix,2500,1 mois,2026-05-17 14:15:36.365046+00,completed,mutual,837,,,564,subscription
1070,f6a63286-94a1-470b-a0ad-ad0fe45034a5,Netflix,7000,3 mois,2026-09-24 22:24:24.10894+00,completed,mutual,566,191,,191,subscription
818,de073279-1c1a-4e21-8f75-32712f81e386,Spotify,2000,1 mois,2026-04-26 23:15:00+00,completed,mutual,17,171,,171,subscription
768,ab4d2b0b-38e2-45f6-9aa4-d629bb952807,Prime Video,2000,1 mois,2026-04-21 20:52:13.904818+00,completed,mutual,963,,,,subscription
72,83fff89b-e4d0-4f4d-898d-5e07ba7a5633,Disney Plus,2500,1 mois,2026-03-19 00:02:20.720931+00,completed,mutual,498,,,52,subscription
50,6a69ab40-d7b4-4a8d-a523-1f7a727ed55f,Netflix,2500,1 mois,2026-03-17 19:51:41.433695+00,completed,mutual,523,,,30,subscription
938,90505db8-ac59-494a-a722-a1681b4b6d01,Prime Video,2000,1 mois,2026-05-02 22:44:09.415818+00,completed,mutual,881,,,509,subscription
827,45827094-ca87-43ac-84bd-b6ae5ec39bb5,Surfshark,1500,1 mois,2026-04-27 15:52:14.937408+00,completed,mutual,859,180,,180,subscription
784,77f7fc76-62f5-46a9-8fc0-5ca27ea3dde8,Netflix,2500,1 mois,2026-04-21 18:48:39.510705+00,completed,mutual,792,92,,92,subscription
1078,3483ff10-39ff-4d4f-a53b-20429eabefb1,Netflix,2500,1 mois,2026-05-15 13:28:17.921051+00,completed,mutual,1011,,,557,subscription
900,a353bcd4-e55a-4157-9a8f-d089918696f5,Hbo Max,2500,1 mois,2026-05-01 09:34:17.420402+00,completed,mutual,429,,,489,subscription
947,a71e1e49-d944-4bc7-89b6-67eaf1c42aa7,Crunchyroll,1500,1 mois,2026-05-04 10:53:29.874419+00,completed,mutual,939,,,514,subscription
1085,dbc2aeab-528a-402f-ab7b-bbe7c4cfd555,Spotify,2000,1 mois,2026-05-16 16:28:02.979339+00,completed,mutual,885,,,559,subscription
1030,4cd7dc64-3adb-46c1-89e3-7eee75d9be99,Netflix,2500,1 mois,2026-05-09 17:30:56.71945+00,completed,mutual,475,339,,339,subscription
