id,subscription_id,subscriptionmarker_id
1,3,1
2,118,1
3,303,1
4,42,1
5,167,1
7,500,1
8,155,1
9,605,1
10,221,1
11,339,1
12,267,1
14,343,1
16,607,1
17,569,1
18,275,5
19,305,1
20,137,3
23,532,3
25,531,3
36,760,1
37,768,1
38,155,6
40,98,7
41,138,6
43,186,4
44,578,11
45,228,11
46,216,6
47,829,12
48,4,12
49,3,12
50,128,12
51,881,13
53,647,12
54,593,12
57,286,14
58,285,14
60,509,6
61,953,12
62,252,15
63,726,5
65,426,15
66,519,6
68,1033,12
69,745,11
70,518,1
71,896,1
72,779,4
73,453,4
74,702,1
75,1073,12
